,Freeze,LR,KFold,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs,mask_rcnn/accuracy,mask_rcnn/false_negative,mask_rcnn/false_positive
0,1,0.01,,25.00972050040097,37.21011349128257,27.88561760360492,29.43684599059508,6.553512484937869,72.66666666666666,25.854892629553596,38.233783507552516,28.195031527897253,31.049617142390797,4.653018764456387,76.0,0.9159263615819505,0.07444335169927256,0.09906685589861378
0,1,0.005,,31.60222016826585,46.25429489997089,35.87327172966343,36.692787329262536,8.860455500868893,80.0,32.43635657278688,47.789231163414925,35.46794989810851,38.29403138174531,5.657079083247222,90.0,0.918579995179767,0.06747899024343632,0.09063066245131482
0,1,0.0025,,32.37337407109707,46.782159852758966,36.55172585982619,37.938668161749334,9.301834658803967,80.0,32.979085952740974,48.19340714833749,36.493742485722656,39.70907370936857,6.069126877957878,90.0,0.9203458174495932,0.06935167904365667,0.08971740521597613
0,1,0.001,,29.876767669326863,42.28831208934432,33.93861869288703,35.97786168414486,8.824431543991263,84.0,30.56264132901422,44.2101193276193,34.019573680458414,38.09677758820062,5.162384927365356,90.0,0.9191528415183559,0.06311596800510241,0.08937333250668653
0,2,0.01,,31.38668600509584,46.54448318793801,35.5966634218803,36.66187041245995,9.131451791291894,82.0,33.20034840344992,48.06318083710677,36.567751021599804,39.48359020885688,7.3392610539099525,90.0,0.9221560931886128,0.06281087563108419,0.08195807701658933
0,2,0.005,,31.43347347991651,46.2194494997584,35.042119300406874,37.419897099593776,9.886234411246527,74.0,32.48047653175246,47.52325430271949,35.620062063312034,39.80151647575372,6.934557087122793,88.0,0.9254341679993349,0.06288723001359445,0.08015494023385199
0,2,0.0025,,32.84112746149896,47.90001603919772,36.943846010159675,39.378198203962015,9.16270890900571,76.0,33.961792986844934,49.735714362250505,37.3563255770066,41.78012299969658,5.850414159406801,90.0,0.9302391193578476,0.056926121367098015,0.08804144907724135
0,2,0.001,,29.78443606821141,42.4429475015083,34.25239113100098,36.134823991360406,9.053016837122046,84.0,30.786786659773327,44.2847640422034,34.46218784287173,38.836537870703985,5.314535312770048,90.0,0.9233262898412459,0.06681631953076003,0.08712285066611287
0,3,0.01,,30.536389478702784,46.42227911717225,34.34837647896715,36.07187560979598,7.3344970236156595,78.0,31.907898296442376,47.64176759506482,35.158546975110866,38.50747136455052,5.754987626836234,90.0,0.9171332604609853,0.07112830894595457,0.08763628159528603
0,3,0.005,,32.27001544837467,47.902581279655074,35.98770020611578,38.38039093523947,7.242101478178249,78.0,33.22514905871343,49.45029824611067,36.98920936197112,40.50327245641516,5.257083889941514,90.0,0.9238852192790155,0.0650694329158715,0.08431313323481181
0,3,0.0025,,32.42547543455862,47.43162751145814,36.46280831118426,38.43116737152532,7.790815289516027,82.0,33.46213710270634,48.9744252680258,36.8439461069642,40.6639525081126,5.200333697159946,92.0,0.9213769000843733,0.06189475868775283,0.09114809576220848
0,3,0.001,,28.586231336955052,41.055173420608824,32.907710294302234,34.6463594216821,8.3574837054685,84.0,29.70661519041041,42.677824293603685,33.15020902267584,37.4212632916128,5.1673223589135535,90.0,0.9203685519479651,0.06529228262671108,0.09117220445230796
0,4,0.01,,29.85135852228941,45.839749583839215,33.442316683365995,35.51639839759402,5.669093112166818,74.0,31.801383251774336,47.480220941909074,35.35561146904458,38.93173696114441,4.1379014429700955,81.0,0.9289691899554473,0.060144449398736644,0.08347192112475024
0,4,0.005,,30.846629188459055,46.20429625995885,34.14654168340295,36.474794037125875,7.886600933472131,60.0,31.893602140594442,47.69073224654566,34.76311273772258,38.70426058804481,5.2595418119666935,70.0,0.9215834544542167,0.06839573081403896,0.08244848085484785
0,4,0.0025,,28.802042071540335,43.0425674841694,32.58617837393193,34.597220223434704,7.024756411855762,66.0,30.1661181315568,44.38495529248158,33.81135785070457,37.653209126490424,4.661865910203661,72.0,0.9209369985293329,0.06867518180569288,0.08380871673927229
0,4,0.001,,26.277114554860344,38.563612906921676,30.100525337265434,32.08020046105168,6.062394972817691,67.0,27.767287786158317,40.30416835995337,31.309020053847195,34.918534559565586,3.9671246819092225,72.0,0.921612038529102,0.060392641268633016,0.08413394260513454
0,5,0.01,,27.688444255851614,42.3299690035047,31.47080386025516,33.75331031498404,6.346281469085244,53.0,29.91370571034782,44.157066135227396,33.33443207299362,37.771120452618796,4.792576117137964,62.0,0.9201887229446092,0.06871267752797097,0.09070257763931137
