,Freeze,LR,KFold,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs,mask_rcnn/accuracy,mask_rcnn/false_negative,mask_rcnn/false_positive
0,1,0.01,,25.00972050040097,37.21011349128257,27.88561760360492,29.43684599059508,6.553512484937869,72.66666666666666,25.854892629553596,38.233783507552516,28.195031527897253,31.049617142390797,4.653018764456387,76.0,0.9159263615819505,0.07444335169927256,0.09906685589861378
0,1,0.005,,31.60222016826585,46.25429489997089,35.87327172966343,36.692787329262536,8.860455500868893,80.0,32.43635657278688,47.789231163414925,35.46794989810851,38.29403138174531,5.657079083247222,90.0,0.918579995179767,0.06747899024343632,0.09063066245131482
0,1,0.0025,,32.37337407109707,46.782159852758966,36.55172585982619,37.938668161749334,9.301834658803967,80.0,32.979085952740974,48.19340714833749,36.493742485722656,39.70907370936857,6.069126877957878,90.0,0.9203458174495932,0.06935167904365667,0.08971740521597613
0,1,0.001,,29.876767669326863,42.28831208934432,33.93861869288703,35.97786168414486,8.824431543991263,84.0,30.56264132901422,44.2101193276193,34.019573680458414,38.09677758820062,5.162384927365356,90.0,0.9191528415183559,0.06311596800510241,0.08937333250668653
0,2,0.01,,31.38668600509584,46.54448318793801,35.5966634218803,36.66187041245995,9.131451791291894,82.0,33.20034840344992,48.06318083710677,36.567751021599804,39.48359020885688,7.3392610539099525,90.0,0.9221560931886128,0.06281087563108419,0.08195807701658933
0,2,0.005,,31.43347347991651,46.2194494997584,35.042119300406874,37.419897099593776,9.886234411246527,74.0,32.48047653175246,47.52325430271949,35.620062063312034,39.80151647575372,6.934557087122793,88.0,0.9254341679993349,0.06288723001359445,0.08015494023385199
0,2,0.0025,,32.84112746149896,47.90001603919772,36.943846010159675,39.378198203962015,9.16270890900571,76.0,33.961792986844934,49.735714362250505,37.3563255770066,41.78012299969658,5.850414159406801,90.0,0.9302391193578476,0.056926121367098015,0.08804144907724135
0,2,0.001,,29.78443606821141,42.4429475015083,34.25239113100098,36.134823991360406,9.053016837122046,84.0,30.786786659773327,44.2847640422034,34.46218784287173,38.836537870703985,5.314535312770048,90.0,0.9233262898412459,0.06681631953076003,0.08712285066611287
0,3,0.01,,30.536389478702784,46.42227911717225,34.34837647896715,36.07187560979598,7.3344970236156595,78.0,31.907898296442376,47.64176759506482,35.158546975110866,38.50747136455052,5.754987626836234,90.0,0.9171332604609853,0.07112830894595457,0.08763628159528603
0,3,0.005,,32.27001544837467,47.902581279655074,35.98770020611578,38.38039093523947,7.242101478178249,78.0,33.22514905871343,49.45029824611067,36.98920936197112,40.50327245641516,5.257083889941514,90.0,0.9238852192790155,0.0650694329158715,0.08431313323481181
