,Freeze,LR,KFold,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs,mask_rcnn/accuracy,mask_rcnn/false_negative,mask_rcnn/false_positive
0,1,0.01,,25.00972050040097,37.21011349128257,27.88561760360492,29.43684599059508,6.553512484937869,72.66666666666666,25.854892629553596,38.233783507552516,28.195031527897253,31.049617142390797,4.653018764456387,76.0,0.9159263615819505,0.07444335169927256,0.09906685589861378
0,1,0.005,,31.60222016826585,46.25429489997089,35.87327172966343,36.692787329262536,8.860455500868893,80.0,32.43635657278688,47.789231163414925,35.46794989810851,38.29403138174531,5.657079083247222,90.0,0.918579995179767,0.06747899024343632,0.09063066245131482
0,1,0.0025,,32.37337407109707,46.782159852758966,36.55172585982619,37.938668161749334,9.301834658803967,80.0,32.979085952740974,48.19340714833749,36.493742485722656,39.70907370936857,6.069126877957878,90.0,0.9203458174495932,0.06935167904365667,0.08971740521597613
