,Freeze,LR,KFold,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs,mask_rcnn/accuracy,mask_rcnn/false_negative,mask_rcnn/false_positive
0,1,0.01,0,37.869080831730265,56.425508873756065,42.20955357565414,44.52022317797199,9.450322295912217,6.147186147186146,38.34268499714969,57.764746013862016,41.9584310257016,46.84869129153424,6.961870216481619,2.8743961352657004,0.9200704028713087,0.07088282409406316,0.08860099894454643
0,1,0.01,1,40.93635423232672,62.50540373160504,45.85433345101694,46.78218313025409,11.46387538162798,53.333333333333336,42.156850659091816,64.24895460431244,45.99409720833082,49.10018181730637,9.640933345318901,31.666666666666668,0.9160136479413818,0.06929601760393962,0.09204513474862086
0,1,0.01,2,36.901199520362646,57.098380846833635,41.71735268496695,42.50966288004092,10.531384414737728,40.0,37.676763381752785,57.92416787660929,41.5271745738533,44.0541186309884,9.267133549331101,35.45454545454546,0.9126664771798042,0.06496864113532536,0.09075178227174945
0,1,0.01,3,42.08397504622957,63.222231666005506,47.8291188911343,47.40123972852616,14.732487514997553,50.0,42.184435615716545,63.9519763708295,46.18138840553481,48.344350946381354,12.34989108972231,36.666666666666664,0.9234270341930818,0.06645983895252892,0.08272623358878599
0,1,0.01,4,41.55617583688159,64.17176248620574,47.03755653301997,47.77665791323148,10.394469121986461,83.33333333333333,42.91383713121444,64.63719561157016,46.96683124903893,49.78848000931859,9.129444369650821,90.0,0.9274385974149846,0.06277488979980533,0.08524139390604467
0,1,0.005,0,48.76065191374181,70.62120040279599,53.782615037264755,54.90970564891054,15.311755409084341,65.33333333333333,48.585411288933194,71.97798944067792,53.95670688041533,55.43150176005387,12.862109775515554,61.666666666666664,0.9254712339459378,0.06739443589899977,0.08031353520326241
0,1,0.005,1,47.37067431163652,67.85702336614754,53.59540254924564,53.718354476131,12.836547308044727,83.33333333333333,48.235800529361455,70.00401168498279,52.512787824218435,55.45866877237474,10.25335831955453,64.28571428571428,0.9268967131925553,0.06418747496791798,0.07921293574772274
0,1,0.005,2,46.67651861302193,68.00247500174909,51.98866806632586,52.847290712460556,14.451961783035754,36.666666666666664,47.60578074504488,70.1232433198532,51.57499860098247,54.653136743303115,12.836125167852133,33.75,0.928420331413195,0.058464337577937786,0.08125258337935069
0,1,0.005,3,48.75700686306917,69.93065485726761,55.01717978902923,54.61802714830426,17.249575717977454,83.33333333333333,49.39280082800237,71.78583749580623,54.04933997608222,56.29993369386298,14.101480814543265,66.66666666666667,0.9222967218438859,0.06847499898810257,0.08269867987853874
0,1,0.005,4,47.85149305322134,70.27712595473719,53.86305280784858,53.407266030540505,18.469764747056733,86.66666666666667,47.735883298772535,71.80560454205381,52.85444651249468,53.94272656399894,13.88015498386836,90.0,0.9311079801595362,0.06491926097787541,0.07304289439789921
0,1,0.0025,0,47.49932303635068,68.57323113556733,53.24694896649132,54.62515303513005,10.777478214319169,80.0,47.39361333741001,70.32428930469179,51.74669507096798,55.55658949937367,7.814606014170795,86.66666666666667,0.9296982635774501,0.05946182460303493,0.07173742455280487
0,1,0.0025,1,48.765930863270775,70.4421562473347,54.342426725339145,55.26549780708471,14.569431548620756,80.0,49.33342516171809,71.64982862363502,54.41886940509968,56.722220001213664,11.853025722397318,90.0,0.9408137523339244,0.05042448003120376,0.067579926472444
0,1,0.0025,2,48.6840454885504,70.43942139054373,54.82742748142749,55.26806702526124,12.25501717037335,86.66666666666667,49.09492915309004,72.45961762475939,53.40383618825573,56.35542743348529,10.266429459210968,90.0,0.9338214797206961,0.050004650904009906,0.07387156451556179
0,1,0.0025,3,51.05711919631462,71.75194806482439,58.156889290332174,57.42830737712285,15.444247536537352,83.33333333333333,50.550823341120804,73.64540228850645,55.98754900686625,57.7603842575647,12.236480884431273,93.33333333333333,0.9341291144197873,0.05489820924802346,0.07446167422349938
0,1,0.0025,4,50.132264257036894,71.82526796597297,56.954734183525396,56.66895650891329,13.70423066382528,80.0,50.27522463687896,73.71968331723748,55.2902021411716,57.43768207923892,11.463101918277985,60.0,0.9327638603044609,0.0575152146778334,0.07605113809029486
0,1,0.001,0,51.03706898791642,71.57943489954653,58.34214259633634,57.995219436721875,13.389025828327698,80.0,50.86438623747936,73.52094942184412,56.23704763858981,58.81818863744622,10.375658169045282,90.0,0.9276919633707573,0.06546603918381202,0.08548854856967886
0,1,0.001,1,52.31401128465251,73.90681682162432,59.644300959786186,58.80214683056928,15.882036280166929,80.0,52.674110809433614,75.76760831791621,58.28817149620403,60.22268081092733,12.168464580001926,90.0,0.9194709876173305,0.0666371882291973,0.0921253473678647
0,1,0.001,2,50.37398421211234,72.46899006369307,57.98933714675661,57.20164730571796,12.427314519463929,73.33333333333333,51.19226894763721,74.37949857124102,56.17511784419304,59.02904007599435,9.738452089187218,90.0,0.9266778735195255,0.06413613126590843,0.08328724532334836
0,1,0.001,3,52.44745491859206,72.7761212524595,59.956979527000385,59.877777813283764,11.598967467612686,80.0,51.89491427823598,74.8227720502719,57.69750294393092,60.01630836217703,8.58516471682,90.0,0.9283074155737353,0.06505457285337644,0.0822078978905379
0,1,0.001,4,48.516767282576176,69.31157715857675,54.98820405658254,55.8018884350646,10.222145798799241,80.0,48.179824972024335,70.79736345979804,52.95126993840637,56.354061429071145,8.138907607850149,90.0,0.9328587887596163,0.06458804552907207,0.07241901048939954
0,2,0.01,0,45.363923972802866,66.57970758141437,51.708978985511656,52.00188112628791,11.018209167077371,60.0,46.904268585426166,68.34294087141545,51.3913259521662,54.463962399898556,9.250908261153308,42.0,0.9268065658490879,0.06059837089938922,0.07804244626928152
0,2,0.01,1,45.102384729462806,66.27742525388408,50.23319235474825,52.17510938218161,10.492724340597595,36.666666666666664,46.120917217260455,67.70582997401571,50.85094430356518,54.01619656497846,9.52322918173999,21.0,0.9323705749276461,0.05503268794270431,0.071890444209406
0,2,0.01,2,44.13701236502672,65.77165318791874,50.53414191315435,51.84928545316037,7.684355253437576,70.0,45.37344126770537,66.92154801648344,49.486510483387825,54.46456962438716,5.991965584524224,47.77777777777777,0.9304656433208285,0.05187102999716444,0.0782793626480838
0,2,0.01,3,46.57276717948543,68.11028154476695,53.160150555516175,52.89490185822399,11.630051197938613,80.0,48.14375134017282,69.42082241124989,53.30828673672797,55.22217006840945,10.249961600684173,90.0,0.9335204087215567,0.055833683851414996,0.07572040057885342
0,2,0.01,4,45.75498330414547,67.70831573131217,51.144191219431754,53.11713974039828,9.19330656452584,56.666666666666664,46.31103851639807,68.9980294548589,51.21605863237127,54.649659253586,7.372252630257209,52.22222222222222,0.9297950591736913,0.05713301412563666,0.07817689062489813
0,2,0.005,0,47.592931446120865,69.4329929608429,52.78697302596772,53.85787512816446,14.409817622971511,86.66666666666667,49.102673140637734,71.845668147577,53.33222031373375,56.369617027508106,12.392056116191256,90.0,0.9275549707972006,0.060186118838805445,0.08421422345210587
0,2,0.005,1,48.14792946514533,69.6204807313553,54.893774377436124,54.965939026872924,11.944208505594247,70.0,49.06287774943612,71.00169168741641,54.810647788883195,56.92708946241035,9.937034777147343,80.0,0.9383981794639275,0.05374115862830592,0.07132943855419797
0,2,0.005,2,48.63039076221497,69.77523841824654,54.68381999239063,55.42745191106609,12.028084591664877,66.66666666666667,48.48345267473896,70.50522563060426,53.92921678228354,55.76011206890879,10.519611618302216,90.0,0.9282459165544434,0.06746438104930565,0.07572482096282938
0,2,0.005,3,47.91149066363622,69.31085356099835,54.339245856834715,54.60683202963327,11.171612606108082,76.66666666666667,48.158685958732,71.21350098533708,53.24612925441527,55.469301070749395,9.045849195879704,86.66666666666667,0.9302091888769143,0.059795122398491295,0.08117800629861037
0,2,0.005,4,46.966585484814935,69.35460679251291,52.96793582616514,53.25806000390403,13.259648224929528,70.0,48.604621950473906,71.67029173663342,53.38734669024263,55.96889959745712,10.514017784514062,90.0,0.9365065241174676,0.056167923654445485,0.07105166731437844
0,2,0.0025,0,52.564545475759985,73.62164233761585,59.79937497986672,59.35958771679697,13.971427869236102,80.0,53.387410639309515,75.88906322928152,58.85082025427801,61.02640476630956,11.728319588174834,90.0,0.9289446782472416,0.05896156178642279,0.08004979448332418
0,2,0.0025,1,51.18787836940737,72.91886359095565,58.306897035430694,58.31571723858084,12.356400729526266,80.0,51.30369185792372,74.49700193738882,56.7084442838987,59.31587576763371,9.670077725689405,90.0,0.9243444537057236,0.06232216999649695,0.08151071635039636
0,2,0.0025,2,49.650062972820514,71.60697707918725,56.62853182125193,56.52539947313458,12.532445075932607,80.0,49.740325846784195,73.16090705800964,55.41384557431858,57.37509786102356,9.531040283931008,90.0,0.9360992471593691,0.052816158270937476,0.07606861934661137
0,2,0.0025,3,50.915321383225155,73.33682673205318,58.608875127018344,57.80376536467376,13.25616617010558,80.0,52.36625055074331,75.10711946215866,57.83739303313826,60.107431116405984,11.276161517541615,90.0,0.9275728987818539,0.05194994681451074,0.07658878872188842
0,2,0.0025,4,51.50983436440087,71.97372400334602,58.4805915187284,58.2395286643983,14.316718843078135,86.66666666666667,51.97010908331712,73.22770073584933,57.39133585286633,59.35228711659599,12.292961309409192,90.0,0.9288127831588827,0.0582102890906891,0.06917371245149702
0,2,0.001,0,52.33710285204487,72.86083104623657,59.2564041828964,59.52289790007857,12.577816828640621,80.0,52.47709387128919,74.35145693985136,58.61531288208172,60.44883986959326,9.720202943914195,90.0,0.9251865006201362,0.0664895499300585,0.0811665493067447
0,2,0.001,1,52.921236021341464,73.69332567545455,60.66114048059717,60.10037678701144,13.243197275570381,80.0,53.00163206570043,75.78340852917874,58.52394683695159,61.02409050925039,10.114536346960369,90.0,0.9342413881492825,0.05192217099239357,0.07709471808249103
0,2,0.001,2,50.62547403317521,71.62274609721369,57.22494536777839,57.578839966976126,12.815874604380127,80.0,50.74425721779762,73.66662162411446,56.0973936444747,58.71031506230788,9.787430460969695,90.0,0.9251960389512938,0.06378026025728034,0.07723339802315832
0,2,0.001,3,50.61468253385897,71.5352558948743,57.103540029400655,57.43799903953823,12.38690577394273,80.0,50.009537287707396,73.58972102392003,55.231363163247444,57.6400931749046,9.236853762951435,90.0,0.9309898713367756,0.06367912182198679,0.08727212380574371
0,2,0.001,4,49.39444093902085,70.4700728828201,55.78146558247972,56.50715028444697,11.454189237132624,73.33333333333333,49.06735493566722,71.80257466923071,54.30297753170449,57.144294678483426,8.904644101704925,90.0,0.9255350195007988,0.06784784532308034,0.0759334391162146
0,3,0.01,0,46.90617742132295,68.23570786047331,54.58423852708271,53.88325352992914,9.713906199186512,53.333333333333336,48.23233030688643,69.3808938982861,52.88862751237435,55.99151388180428,7.856046046946754,60.0,0.9285330195634333,0.05702822714395625,0.0792924524653842
0,3,0.01,1,44.05284480378367,65.79598770850617,49.29405253225136,51.577851985918166,6.4847365819116485,80.0,45.76876798461412,67.53346723085978,50.04401233796768,54.04665268363427,5.851365577226379,90.0,0.9215598480451286,0.06069866011844972,0.08763052458355443
